Time,Deployed UPFs
0.0,0
502.0,1
655.0,1
684.0,1
1020.0,1
1226.0,2
1810.0,2
1850.0,2
1884.0,2
2008.0,2
2066.0,2
2092.0,2
2169.0,2
2266.0,3
2426.0,3
2547.0,3
2555.0,3
2587.0,3
3083.0,3
3359.0,3
3377.0,3
3474.0,3
3588.0,3
3676.0,4
3989.0,4
4171.0,4
4294.0,4
4329.0,4
4578.0,4
4954.0,4
5338.0,4
5379.0,4
5416.0,4
5482.0,4
5535.0,4
5609.0,5
5740.0,5
5951.0,5
6011.0,5
6734.0,5
6771.0,5
7048.0,5
7053.0,5
7271.0,5
7284.0,5
7305.0,5
7468.0,5
7479.0,6
7545.0,6
7715.0,6
7731.0,6
7822.0,6
8031.0,6
8169.0,6
8283.0,6
8376.0,6
8396.0,6
8565.0,7
8684.0,7
8732.0,7
8967.0,7
8981.0,7
9011.0,7
9137.0,7
9287.0,7
9629.0,7
9664.0,7
9664.0,7
9794.0,7
9885.0,8
9982.0,8
9993.0,7
10012.0,6
10172.0,5
10192.0,5
10285.0,5
10614.0,5
10734.0,5
10776.0,5
10845.0,5
10911.0,5
10963.0,5
11114.0,5
11709.0,5
11758.0,6
11818.0,6
11825.0,6
11884.0,6
11942.0,6
11997.0,6
12043.0,6
12156.0,6
12203.0,6
12442.0,7
12660.0,7
12827.0,7
12955.0,7
13256.0,7
13291.0,7
13335.0,7
13440.0,7
13443.0,7
13486.0,7
13518.0,8
13563.0,8
13600.0,8
13625.0,8
13646.0,8
13996.0,8
14176.0,8
14191.0,8
14312.0,8
14359.0,8
14585.0,8
14739.0,8
14907.0,8
14979.0,9
15359.0,9
15373.0,9
15612.0,9
15627.0,9
16009.0,9
16011.0,9
16193.0,9
16223.0,9
16420.0,9
16447.0,10
16463.0,10
16509.0,10
16738.0,10
17054.0,10
17161.0,10
17195.0,10
17272.0,10
17319.0,10
17403.0,10
17570.0,10
17687.0,10
17687.0,10
17801.0,10
18015.0,11
18020.0,11
18053.0,11
18566.0,11
18644.0,11
18962.0,11
19084.0,11
19246.0,11
19368.0,11
19423.0,11
19651.0,11
19870.0,11
19971.0,11
20022.0,11
20053.0,11
20117.0,11
20253.0,11
20452.0,11
20470.0,12
21239.0,12
21361.0,12
21361.0,12
21524.0,12
21587.0,12
21790.0,12
21848.0,12
21958.0,12
22100.0,12
22113.0,12
22125.0,12
22533.0,12
22650.0,12
22825.0,12
22849.0,12
23090.0,12
23127.0,12
23159.0,12
23176.0,12
23183.0,12
23314.0,13
23463.0,13
23464.0,13
23470.0,13
23545.0,13
23669.0,13
23710.0,13
23725.0,13
23852.0,13
24022.0,14
24442.0,14
24643.0,14
24709.0,14
24762.0,14
24776.0,14
25012.0,14
25324.0,14
25523.0,14
25555.0,14
25604.0,14
25813.0,14
25868.0,15
26009.0,15
26060.0,15
26089.0,15
26092.0,14
26104.0,14
26250.0,14
26298.0,14
26379.0,14
26535.0,14
26556.0,14
26563.0,14
26766.0,14
26784.0,14
26891.0,14
26986.0,14
27146.0,14
27154.0,15
27260.0,15
27318.0,15
27435.0,15
27559.0,15
27642.0,15
27672.0,15
27844.0,15
27991.0,15
28134.0,15
28306.0,15
28438.0,15
28520.0,16
28581.0,16
28662.0,16
28786.0,16
28911.0,15
28913.0,14
28913.0,14
28925.0,14
28929.0,14
29121.0,14
29186.0,14
29188.0,14
29190.0,14
29246.0,14
29309.0,14
29403.0,14
29445.0,14
29479.0,14
29795.0,14
30067.0,14
30089.0,14
30100.0,14
30285.0,14
30340.0,14
30375.0,14
30464.0,14
30714.0,14
31160.0,14
31254.0,15
31332.0,15
31489.0,15
31878.0,15
32170.0,15
32547.0,15
32549.0,15
32565.0,15
32597.0,15
32616.0,15
32681.0,15
32814.0,15
33065.0,15
33207.0,15
33307.0,15
33374.0,15
33607.0,15
33713.0,16
33867.0,16
33890.0,16
33981.0,16
34062.0,16
34114.0,16
34237.0,16
34479.0,16
34482.0,16
34494.0,16
34500.0,15
34739.0,15
34757.0,15
34959.0,15
35147.0,15
35247.0,15
35262.0,15
35534.0,15
35587.0,15
35610.0,15
35982.0,15
36060.0,15
36191.0,15
36401.0,15
36551.0,15
36785.0,15
36800.0,15
36931.0,15
36937.0,15
36946.0,15
37332.0,15
37410.0,15
37446.0,15
37552.0,16
37574.0,16
37748.0,16
37749.0,16
37895.0,16
37974.0,16
38017.0,16
38313.0,16
38649.0,16
38737.0,16
38864.0,16
39150.0,16
39448.0,16
39476.0,16
39695.0,16
39808.0,16
39818.0,16
40196.0,16
40450.0,16
40645.0,16
40780.0,16
40904.0,16
41103.0,16
41268.0,16
41654.0,16
41654.0,16
41709.0,16
42078.0,16
42216.0,16
42240.0,16
42275.0,16
42348.0,16
42362.0,17
43076.0,17
43205.0,17
43227.0,17
43486.0,17
43516.0,17
43805.0,17
43826.0,17
43856.0,17
43980.0,17
44021.0,17
44065.0,17
44112.0,17
44448.0,17
44453.0,17
44479.0,17
44731.0,17
44759.0,17
44839.0,17
45147.0,18
45253.0,18
45267.0,18
45307.0,18
45641.0,18
46141.0,18
46634.0,18
46706.0,18
46762.0,18
46975.0,18
47004.0,18
47031.0,18
47140.0,18
47423.0,18
47484.0,18
47623.0,18
47671.0,18
47695.0,18
47851.0,18
48037.0,18
48111.0,18
48209.0,18
48297.0,18
48299.0,18
48544.0,18
48863.0,19
49001.0,19
49088.0,19
49093.0,19
