Time,Deployed UPFs
0.0,0
251.0,1
328.0,1
343.0,1
511.0,1
614.0,2
906.0,2
926.0,2
943.0,2
1005.0,2
1034.0,2
1047.0,2
1086.0,2
1215.0,3
1276.0,3
1280.0,3
1296.0,3
1544.0,3
1654.0,3
1682.0,3
1691.0,3
1740.0,3
1797.0,3
1998.0,4
2089.0,4
2151.0,4
2169.0,4
2294.0,4
2482.0,4
2695.0,4
2714.0,4
2747.0,5
2774.0,5
2811.0,5
2877.0,5
3013.0,5
3335.0,5
3375.0,5
3394.0,5
3535.0,5
3547.0,5
3644.0,5
3651.0,5
3662.0,6
3671.0,6
3744.0,6
3750.0,6
3783.0,6
3868.0,6
3922.0,6
4027.0,6
4096.0,6
4153.0,6
4200.0,7
4210.0,7
4295.0,7
4355.0,7
4379.0,7
4497.0,7
4504.0,7
4519.0,7
4657.0,8
4660.0,8
4828.0,8
4846.0,8
4911.0,8
5029.0,8
5100.0,8
5110.0,8
5157.0,8
5322.0,8
5382.0,8
5403.0,8
5438.0,9
5471.0,9
5488.0,9
5573.0,9
5671.0,9
5807.0,9
5871.0,9
5896.0,9
5926.0,9
5930.0,9
5989.0,9
6017.0,9
6040.0,9
6097.0,9
6121.0,10
6241.0,10
6350.0,10
6434.0,10
6498.0,10
6649.0,10
6667.0,10
6742.0,10
6744.0,11
6766.0,11
6782.0,11
6823.0,11
6836.0,11
6847.0,11
6887.0,11
7022.0,11
7112.0,11
7180.0,11
7204.0,12
7328.0,12
7394.0,12
7478.0,12
7514.0,12
7704.0,12
7831.0,12
7839.0,12
8030.0,12
8031.0,12
8122.0,13
8137.0,13
8236.0,13
8248.0,13
8258.0,13
8281.0,13
8376.0,13
8396.0,13
8554.0,13
8625.0,13
8632.0,13
8664.0,13
8688.0,13
8730.0,13
8749.0,14
8810.0,14
8814.0,13
8873.0,13
8930.0,13
9037.0,13
9040.0,13
9057.0,13
9314.0,13
9353.0,13
9573.0,13
9857.0,14
10017.0,14
10058.0,14
10090.0,14
10132.0,14
10158.0,14
10258.0,14
10267.0,14
10291.0,14
10472.0,14
10652.0,14
10713.0,14
10826.0,14
10928.0,14
10957.0,15
10960.0,15
11096.0,15
11230.0,15
11300.0,15
11359.0,15
11447.0,15
11580.0,15
11615.0,15
11624.0,15
11628.0,15
11694.0,15
11769.0,16
11773.0,16
11788.0,16
11811.0,16
11873.0,16
11894.0,16
11902.0,16
11966.0,16
12051.0,16
12091.0,16
12352.0,16
12362.0,16
12395.0,16
12422.0,16
12429.0,17
12703.0,17
12803.0,17
12819.0,17
12844.0,17
12949.0,17
12977.0,17
13089.0,17
13168.0,18
13192.0,18
13311.0,18
13318.0,18
13322.0,18
13326.0,18
13381.0,18
13428.0,18
13437.0,18
13491.0,18
13539.0,18
13543.0,18
13619.0,18
13623.0,18
13705.0,19
13713.0,19
13867.0,19
13867.0,19
13882.0,19
13968.0,19
14036.0,19
14042.0,19
14114.0,19
14200.0,19
14266.0,19
14307.0,19
14504.0,19
14510.0,19
14512.0,20
14556.0,20
14608.0,20
14641.0,20
14643.0,20
14671.0,20
14771.0,20
14946.0,20
15082.0,20
15099.0,20
15237.0,21
15282.0,21
15312.0,21
15407.0,21
15630.0,21
15677.0,21
15677.0,21
15795.0,21
15990.0,21
16136.0,21
16325.0,21
16326.0,21
16334.0,22
16584.0,22
16654.0,22
16655.0,22
16705.0,22
16739.0,22
16856.0,22
16971.0,22
16986.0,22
17043.0,22
17110.0,22
17293.0,22
17304.0,23
17424.0,23
17433.0,23
17488.0,23
17534.0,23
17542.0,23
17678.0,23
17686.0,23
18045.0,23
18046.0,23
18085.0,23
18199.0,23
18301.0,23
18323.0,23
18331.0,23
18448.0,23
18456.0,23
18525.0,23
18606.0,23
18723.0,23
18780.0,23
18833.0,23
18844.0,24
18932.0,24
19005.0,24
19045.0,24
19081.0,24
19215.0,24
19302.0,24
19351.0,24
19376.0,24
19473.0,24
19491.0,24
19783.0,24
19791.0,24
19808.0,24
19822.0,24
19847.0,24
19968.0,23
20008.0,23
20103.0,23
20382.0,23
20450.0,23
20512.0,23
20612.0,23
20695.0,23
20767.0,23
20888.0,23
20916.0,23
20959.0,23
21101.0,23
21182.0,23
21200.0,23
21237.0,23
21237.0,23
21244.0,23
21312.0,24
21326.0,24
21601.0,23
21612.0,23
21666.0,23
21731.0,23
21768.0,23
21807.0,23
21822.0,23
21826.0,23
21939.0,23
21967.0,23
21989.0,23
22075.0,23
22119.0,23
22121.0,23
22289.0,23
22292.0,23
22375.0,23
22431.0,23
22445.0,23
22485.0,23
22639.0,23
22689.0,23
22692.0,23
22719.0,23
22886.0,23
23001.0,23
23165.0,23
23214.0,23
23464.0,23
23568.0,23
23636.0,23
23835.0,23
23878.0,23
23902.0,23
23914.0,23
23992.0,24
24073.0,24
24085.0,24
24122.0,24
24215.0,24
24216.0,24
24237.0,24
24339.0,24
24499.0,24
24568.0,24
24603.0,24
24612.0,24
24615.0,24
24618.0,24
24696.0,24
24716.0,24
24718.0,24
24793.0,24
24841.0,25
24877.0,25
25005.0,25
25020.0,25
25087.0,25
25096.0,25
25336.0,25
25399.0,25
25516.0,25
25554.0,25
25579.0,25
25621.0,25
25846.0,25
25906.0,25
25940.0,25
25963.0,25
25975.0,25
25989.0,25
25990.0,25
26075.0,25
26111.0,25
26165.0,25
26181.0,26
26185.0,26
26213.0,26
26221.0,26
26273.0,26
26311.0,26
26409.0,26
26543.0,26
26551.0,27
26763.0,27
26791.0,27
26906.0,27
26926.0,27
26982.0,27
27021.0,27
27136.0,27
27161.0,28
27349.0,28
27354.0,28
27413.0,28
27456.0,28
27463.0,28
27487.0,28
27527.0,28
27560.0,28
27594.0,28
27693.0,28
27779.0,28
27874.0,28
27932.0,28
27963.0,29
27997.0,29
28112.0,29
28124.0,29
28162.0,29
28172.0,29
28181.0,29
28233.0,29
28415.0,29
28541.0,29
28576.0,29
28592.0,29
28615.0,29
28629.0,29
28644.0,29
28672.0,29
28862.0,29
28924.0,29
29005.0,29
29261.0,29
29277.0,29
29282.0,29
29304.0,29
29472.0,29
29497.0,29
29590.0,30
29658.0,30
29686.0,30
29704.0,30
29751.0,30
29775.0,30
29854.0,30
29908.0,30
29915.0,30
29927.0,30
29982.0,30
29987.0,30
30000.0,31
30149.0,31
30384.0,31
30523.0,31
30619.0,31
30695.0,31
30740.0,31
30794.0,31
30962.0,31
31242.0,31
31352.0,31
31369.0,31
31482.0,32
31533.0,32
31636.0,32
31649.0,32
31769.0,32
31784.0,32
31807.0,32
31870.0,32
31925.0,32
31987.0,32
32047.0,32
32162.0,32
32304.0,32
32344.0,32
32374.0,32
32396.0,32
32433.0,32
32479.0,32
32625.0,32
32649.0,32
32691.0,32
32773.0,32
32826.0,32
33008.0,32
33042.0,32
33044.0,33
33082.0,33
33174.0,32
33203.0,32
33238.0,32
33274.0,32
33291.0,32
33368.0,31
33400.0,31
33463.0,31
33514.0,31
33585.0,31
33760.0,31
33904.0,31
33973.0,31
33983.0,31
34057.0,31
34061.0,31
34104.0,31
34118.0,31
34225.0,31
34311.0,31
34377.0,31
34413.0,31
34613.0,32
34656.0,32
34810.0,32
34902.0,32
34976.0,32
35055.0,32
35162.0,32
35193.0,32
35203.0,32
35220.0,32
35227.0,32
35297.0,32
35423.0,32
35438.0,32
35511.0,32
35525.0,32
35567.0,32
35603.0,32
35715.0,32
35869.0,32
35875.0,32
35932.0,32
35943.0,32
35954.0,32
35969.0,32
36096.0,32
36113.0,32
36244.0,32
36308.0,32
36369.0,32
36412.0,32
36447.0,32
36448.0,32
36491.0,32
36702.0,32
36738.0,32
36789.0,33
36840.0,33
36857.0,33
36859.0,33
36903.0,33
36941.0,33
36973.0,33
37025.0,33
37093.0,33
37105.0,33
37116.0,33
37387.0,33
37426.0,33
37432.0,33
37520.0,33
37685.0,33
37828.0,33
37879.0,33
37913.0,33
37989.0,33
38105.0,33
38193.0,33
38296.0,33
38311.0,33
38314.0,33
38368.0,33
38374.0,33
38425.0,33
38474.0,34
38543.0,34
38545.0,34
38560.0,34
38680.0,34
38804.0,34
38831.0,34
38867.0,34
38875.0,34
38890.0,34
38903.0,34
38956.0,34
38969.0,34
38980.0,34
38989.0,34
39001.0,34
39094.0,34
39096.0,34
39104.0,34
39121.0,34
39144.0,34
39164.0,34
39168.0,34
39228.0,34
39330.0,34
39373.0,34
39393.0,34
39438.0,35
39582.0,35
39590.0,35
39593.0,35
39666.0,35
39767.0,35
39852.0,35
39887.0,35
39927.0,35
39954.0,35
39998.0,35
40046.0,36
40090.0,36
40161.0,36
40176.0,36
40185.0,35
40237.0,34
40279.0,33
40294.0,33
40307.0,33
40354.0,33
40363.0,33
40370.0,33
40498.0,33
40500.0,33
40541.0,33
40566.0,33
40591.0,33
40742.0,33
40757.0,33
40805.0,33
40832.0,33
40880.0,33
40975.0,33
41037.0,33
41109.0,33
41137.0,33
41177.0,33
41322.0,33
41325.0,33
41326.0,33
41461.0,33
41488.0,33
41518.0,33
41593.0,33
41594.0,33
41686.0,33
41713.0,33
41761.0,33
41891.0,33
41893.0,33
41932.0,33
41937.0,33
42044.0,33
42049.0,33
42050.0,33
42127.0,33
42169.0,33
42206.0,34
42236.0,34
42290.0,34
42521.0,34
42542.0,34
42568.0,34
42573.0,34
42626.0,34
42649.0,34
42745.0,34
42754.0,34
42772.0,34
42779.0,34
42837.0,35
42885.0,35
42959.0,35
43028.0,35
43028.0,35
43127.0,35
43171.0,35
43202.0,35
43211.0,35
43224.0,35
43226.0,35
43274.0,35
43340.0,35
43450.0,35
43540.0,35
43698.0,36
43755.0,36
44122.0,36
44126.0,36
44126.0,36
44343.0,36
44382.0,36
44413.0,36
44416.0,36
44431.0,36
44434.0,36
44446.0,36
44742.0,36
44796.0,36
44813.0,36
44848.0,36
44894.0,36
44952.0,36
45100.0,36
45176.0,36
45187.0,36
45218.0,37
45287.0,37
45395.0,37
45427.0,37
45435.0,37
45558.0,37
45568.0,37
45640.0,37
45646.0,37
45720.0,37
45723.0,37
45725.0,37
45788.0,37
45910.0,37
45922.0,37
45958.0,37
46001.0,37
46084.0,37
46127.0,38
46152.0,38
46238.0,37
46303.0,36
46371.0,35
46430.0,34
46466.0,34
46476.0,34
46588.0,34
46598.0,34
46627.0,34
46650.0,34
46652.0,34
46699.0,34
46794.0,34
46883.0,35
46919.0,35
46979.0,34
46986.0,33
47044.0,32
47052.0,32
47105.0,32
47138.0,32
47229.0,32
47263.0,32
47282.0,32
47298.0,32
47302.0,32
47320.0,32
47408.0,32
47468.0,32
47485.0,32
47503.0,32
47539.0,32
47684.0,32
47829.0,32
47922.0,32
48035.0,32
48047.0,32
48048.0,32
48064.0,32
48095.0,32
48183.0,32
48197.0,33
48219.0,33
48284.0,33
48353.0,33
48357.0,33
48408.0,33
48532.0,33
48544.0,33
48677.0,33
48677.0,33
48687.0,33
48775.0,33
48801.0,33
48804.0,33
48882.0,33
48943.0,33
49010.0,33
49054.0,33
49080.0,33
49138.0,33
49159.0,33
49166.0,33
49191.0,34
49223.0,34
49259.0,34
49298.0,34
49334.0,34
49404.0,34
49484.0,34
49509.0,34
49580.0,34
49604.0,34
49670.0,34
49693.0,34
49776.0,34
49839.0,34
49841.0,34
49886.0,34
49991.0,34
50066.0,34
50086.0,34
50203.0,34
50223.0,34
50244.0,34
50260.0,34
50381.0,34
50384.0,34
50396.0,34
50507.0,34
50510.0,34
50519.0,34
50652.0,34
50712.0,34
50741.0,34
50862.0,34
50919.0,34
51031.0,34
51033.0,34
51073.0,34
51099.0,34
51164.0,34
51174.0,34
51176.0,35
51239.0,35
51243.0,35
51274.0,35
51328.0,35
51499.0,35
51510.0,35
51730.0,35
51736.0,35
51839.0,35
51881.0,35
51912.0,35
51993.0,35
52140.0,35
52165.0,35
52193.0,35
52353.0,35
52455.0,35
52464.0,35
52467.0,35
52470.0,35
52503.0,35
52626.0,35
52676.0,36
52684.0,36
52886.0,36
52955.0,36
53155.0,36
53164.0,35
53215.0,35
53347.0,35
53364.0,35
53368.0,35
53464.0,35
53491.0,35
53501.0,35
53505.0,35
53511.0,35
53561.0,35
53589.0,35
53745.0,35
53830.0,35
53844.0,35
53857.0,35
53901.0,35
53923.0,35
53926.0,35
53965.0,35
54019.0,35
54037.0,36
54162.0,36
54211.0,36
54301.0,36
54318.0,36
54335.0,36
54401.0,36
54404.0,36
54484.0,36
54539.0,36
54551.0,36
54598.0,36
54655.0,36
54655.0,36
54694.0,36
54728.0,36
54795.0,36
54832.0,36
54862.0,36
54904.0,36
54913.0,36
54920.0,36
54975.0,37
55004.0,37
55168.0,37
55172.0,37
55182.0,37
55326.0,37
55340.0,37
55498.0,37
55542.0,37
55600.0,37
55702.0,37
55703.0,37
55764.0,37
55800.0,38
55807.0,38
55819.0,38
55917.0,38
55936.0,38
55946.0,38
56049.0,38
56146.0,38
56203.0,38
56256.0,38
56279.0,38
56309.0,38
56344.0,38
56364.0,38
56515.0,38
56626.0,38
56650.0,38
56734.0,38
56740.0,38
56791.0,38
56842.0,38
56907.0,38
56979.0,38
57030.0,38
57078.0,38
57121.0,38
57124.0,38
57207.0,38
57317.0,38
57323.0,38
57338.0,38
57359.0,39
57394.0,39
57476.0,39
57486.0,39
57489.0,39
57524.0,39
57582.0,39
57654.0,39
57667.0,39
57688.0,39
57961.0,39
57974.0,39
57994.0,38
58060.0,37
58066.0,36
58156.0,35
58244.0,35
58245.0,35
58340.0,35
58343.0,35
58395.0,35
58504.0,35
58551.0,35
58573.0,35
58590.0,35
58594.0,35
58667.0,35
58775.0,35
58838.0,36
58948.0,36
58948.0,36
58981.0,36
58994.0,36
59010.0,36
59069.0,36
59089.0,36
59106.0,36
59173.0,36
59185.0,36
59197.0,36
59202.0,36
59273.0,36
59329.0,36
59385.0,36
59408.0,36
59425.0,36
59430.0,36
59482.0,36
59653.0,36
59714.0,36
59789.0,36
59831.0,37
59831.0,37
59856.0,37
59889.0,37
59901.0,37
59940.0,37
59952.0,37
59959.0,37
60021.0,37
60169.0,37
60193.0,37
60230.0,38
60296.0,38
60312.0,38
60363.0,38
60424.0,38
60478.0,38
60580.0,38
60615.0,38
60655.0,38
60778.0,38
60784.0,38
60794.0,38
60799.0,38
60835.0,38
60888.0,38
60889.0,38
60946.0,38
60954.0,38
60967.0,38
61009.0,38
61029.0,38
61040.0,38
61055.0,38
61218.0,38
61267.0,38
61312.0,38
61326.0,38
61340.0,38
61436.0,38
61575.0,38
61620.0,38
61868.0,38
61873.0,38
61879.0,38
62042.0,38
62087.0,38
62103.0,38
62145.0,38
62149.0,38
62170.0,38
62181.0,38
62195.0,38
62198.0,38
62300.0,38
62394.0,38
62403.0,38
62452.0,38
62469.0,38
62588.0,39
62621.0,39
62717.0,39
62798.0,39
62869.0,39
62991.0,39
63036.0,39
63092.0,39
63187.0,39
63188.0,39
63197.0,39
63229.0,39
63277.0,39
63335.0,39
63365.0,39
63403.0,39
63450.0,39
63455.0,39
63460.0,39
63504.0,39
63632.0,39
63744.0,39
63788.0,39
63880.0,39
63968.0,39
64000.0,39
64025.0,40
64048.0,40
64059.0,40
64060.0,40
64079.0,40
64099.0,40
64170.0,40
64198.0,40
64199.0,40
64249.0,40
64288.0,40
64295.0,40
64341.0,40
64387.0,40
64412.0,40
64439.0,40
64587.0,40
64605.0,40
64637.0,41
64660.0,41
64695.0,41
64738.0,41
64750.0,41
64802.0,41
64890.0,41
64923.0,41
64937.0,41
65029.0,41
65031.0,41
65032.0,41
65050.0,41
65102.0,41
65176.0,41
65223.0,41
65442.0,41
65493.0,41
65494.0,41
65570.0,41
65593.0,41
65652.0,41
65670.0,41
65679.0,41
65704.0,41
65735.0,41
65788.0,41
65800.0,41
65879.0,41
65901.0,41
65906.0,41
65907.0,41
65917.0,41
65959.0,41
66013.0,41
66054.0,41
66076.0,41
66086.0,41
66089.0,41
66111.0,41
66167.0,41
66234.0,41
66318.0,42
66395.0,42
66575.0,42
66595.0,42
66617.0,42
66640.0,42
66832.0,42
66855.0,42
66882.0,42
66919.0,42
66928.0,42
66937.0,43
66988.0,43
67004.0,43
67026.0,43
67170.0,43
67179.0,43
67265.0,43
67331.0,43
67373.0,43
67431.0,44
67444.0,44
67446.0,44
67488.0,44
67532.0,44
67594.0,44
67616.0,44
67989.0,44
67999.0,44
68010.0,44
68071.0,44
68078.0,44
68186.0,44
68266.0,44
68299.0,44
68336.0,44
68376.0,44
68398.0,44
68454.0,44
68494.0,44
68533.0,44
68550.0,44
68598.0,44
68661.0,44
68686.0,44
68717.0,44
68719.0,44
68812.0,44
68903.0,44
69001.0,45
69013.0,45
69019.0,45
69022.0,45
69039.0,45
69177.0,45
69261.0,44
69283.0,43
69289.0,43
69373.0,43
69381.0,42
69435.0,42
69445.0,42
69495.0,42
69531.0,42
69596.0,42
69639.0,42
69664.0,42
69687.0,42
69701.0,42
69716.0,42
69920.0,42
70074.0,42
70144.0,42
70156.0,42
70226.0,42
70274.0,42
70395.0,42
70420.0,42
70523.0,42
70529.0,42
70530.0,42
70554.0,42
70592.0,42
70656.0,42
70804.0,42
70823.0,42
70854.0,42
70904.0,42
70951.0,43
70965.0,43
71023.0,43
71182.0,43
71352.0,43
71405.0,43
71515.0,43
71547.0,43
71723.0,43
71860.0,43
71891.0,43
71899.0,43
71934.0,43
71934.0,43
71975.0,43
72033.0,43
72045.0,43
72194.0,43
72219.0,43
72238.0,43
72308.0,43
72343.0,43
72365.0,43
72370.0,43
72488.0,43
72556.0,43
72556.0,43
72654.0,43
72710.0,43
72791.0,43
72799.0,43
72831.0,43
72890.0,43
72904.0,43
72910.0,43
